65000,1930500,1575400,1578000,1722500,1437900,1434800,1655700,1516000,1437500,1482100,1494700,1606000,1458300,1449200,1466600,1550700,1628400,1444900,1447600,1444900,1538085.000000
69000,1891700,1957600,1972600,1851200,1570900,1589200,1540000,1801200,1616200,1581900,1554000,1575200,1888900,1908300,1566100,1545700,1547900,1547000,1814800,1565600,1694300.000000
73000,2068900,1990700,1935000,1734500,1637600,1618500,1940200,1850100,1642500,1697300,1704900,1727300,1905600,1869400,1640000,1639000,1677000,1648600,1913500,1644000,1774230.000000
77000,2170800,2393400,2002500,1732900,1700400,1715600,2086700,1969900,1749700,1734800,1742000,1799700,1983000,1925500,1751300,1717300,1714600,1778300,1999900,1725400,1869685.000000
81000,2421200,2120700,2598000,2047900,1806800,1796100,1796000,2029800,2145100,1847400,1818300,1811500,1842300,2092300,2134400,1808700,1800200,1816300,2247400,1876900,1992865.000000
85000,2296000,2525000,2492900,1908800,1876200,1998400,1956700,2134700,1896700,1898100,1936800,1903400,2178100,2158000,1900900,1892500,1885900,1890500,2153000,1929400,2040600.000000
89000,2510700,2152500,2456100,1999400,2299000,2430400,1987500,2016100,2025300,2079300,2342800,2059500,1983200,1979100,2007200,2254100,2248700,2018600,1981600,1985400,2140825.000000
93000,2567100,2289300,2752100,2322100,2057400,2158500,2127400,2311000,2068900,2071600,2075400,2059400,2178800,2414500,2366200,2117400,2094300,2079600,2397800,2555900,2253235.000000
97000,2844500,2808200,2608500,2221100,2169300,2209300,2658400,2518600,2165400,2172000,2192900,2217400,2465900,2198000,2249200,2247700,2248800,2616100,2293600,2275700,2369030.000000
101000,3063000,2525700,2494300,2401200,2367100,2675000,2396100,2375500,2283000,2320800,2578800,2541700,2294000,2350500,2301300,2614400,2631900,2316200,2284500,2313500,2456425.000000
105000,3035200,2654400,2739000,2693700,2755600,2537600,2480600,2451300,2763000,2670600,2437400,2409300,2489100,2476000,2430900,2429500,2487500,2477000,2452200,2440100,2565500.000000
109000,2978100,2931500,2594800,2392400,2470900,2456700,2740200,2426500,2504300,2410100,2462000,2456000,2434400,2415400,2457600,2438900,2503900,2849700,2840800,2437400,2560080.000000
113000,3068600,2988200,2748800,2885600,2839700,2534400,2514300,2542700,2552300,2510900,2507400,2534900,2519200,2965000,2960400,2612300,2588300,2575700,2511800,2545800,2675315.000000
117000,3235000,3030900,2783400,2585900,2629100,2722800,3146000,3138100,2603700,2622800,2598300,2630200,2632000,2631700,3502900,2878500,3072100,3013500,2616300,2635400,2835430.000000
121000,3299000,3036300,2776900,2672800,2720400,2704600,2690000,2813600,2985400,2709500,2711300,2718300,2710800,2707900,2687700,2712500,2687100,2737100,3090300,2718600,2794505.000000
125000,3521900,3226400,2846300,2901200,2770100,2807400,2763900,2766300,3141400,2828100,2814500,2763200,2767700,3516800,2867900,2868400,2763900,2773800,3167600,2863500,2937015.000000
