16000,510100,499900,499100,502000,502300,496800,493400,492900,494500,494600,498300,498700,497700,498600,497300,498100,497700,496700,500700,497900
17000,546500,543500,538600,538600,538700,533700,539300,535300,534000,533500,535500,535300,535200,535700,545700,554100,535400,533300,533800,533400
18000,589100,577400,571300,569500,581700,576000,569000,570100,574300,573700,572100,577800,578400,576800,574600,572800,573600,573200,574100,573200
19000,621800,615900,612800,612800,611700,611300,618800,614700,611600,629800,729400,635000,626800,615100,610000,608000,608200,609800,608800,608900
20000,666400,660000,657200,654900,653600,647800,654400,648100,653300,658200,658500,662200,655100,654600,654600,652000,671700,674400,654400,653200
21000,708800,693400,692900,685900,682200,682800,683600,684400,686300,686200,685200,685500,683600,693900,686200,686400,686300,685500,686700,685900
22000,738100,732900,729300,734200,733500,733300,735000,734100,745000,731100,756700,743300,737300,731700,731700,732900,731300,730800,730000,729200
23000,783300,773800,768300,779200,766300,763100,764200,766200,769900,772000,767800,767000,765100,766400,765600,769500,773200,768900,765900,766500
24000,809200,818800,806300,808500,798000,796400,801400,801600,811800,804000,799000,797200,808600,800500,802500,802300,808600,803800,802700,801100
25000,847100,857400,849500,837600,836600,833400,834100,834900,834900,832400,833000,834600,837200,836600,834500,836700,835700,847600,835100,834000
26000,877400,870700,859700,862800,870100,869800,864600,860400,864900,864500,864900,859300,859600,858100,860000,903200,870700,865500,864800,866200
27000,1075400,905100,908600,907400,905100,897100,893800,895000,896200,909400,890700,888700,889800,895800,895300,895500,893700,895000,895100,896200
28000,932600,924500,922300,1010400,938100,929400,917500,919400,918600,918900,918700,920600,919000,928400,922100,918000,917200,918100,917700,917200
29000,947400,1043400,941200,938800,939900,937000,935000,935400,944500,939300,941100,937600,938800,934500,944100,931800,938600,935300,936700,935100
30000,982800,972000,974600,974900,981100,975400,973000,974100,969300,970600,976500,979100,975900,975600,1088700,977900,977900,975100,975500,974300
31000,1005800,992200,1097100,1113400,1016000,999200,988300,992900,996600,998500,1006800,993800,1138300,1055800,1100400,991800,996300,999300,1127400,1021000
32000,1036000,1029900,1021600,1033100,1024000,1021700,1142200,1024300,1026000,1036600,1084900,1021400,1025800,1033800,1034300,1027200,1024500,1026700,1029800,1030300
33000,1055500,1060300,1064700,1051700,1049700,1054100,1052800,1052700,1051300,1051100,1053000,1049300,1049500,1051000,1195900,1054900,1062600,1045900,1049900,1050600
34000,1101800,1099100,1095600,1235300,1189100,1102000,1097000,1107900,1094700,1096300,1105500,1098800,1099400,1099300,1100000,1098500,1098600,1100300,1277900,1103100
35000,1142200,1140400,1153800,1156300,1149100,1145300,1143700,1144600,1150600,1139300,1143300,1144600,1143600,1144700,1143400,1146600,1145500,1145700,1143500,1143400
36000,1180000,1170300,1164900,1223400,1264700,1218800,1183400,1175800,1172500,1174100,1170300,1172100,1169800,1172800,1172100,1170000,1169400,1215700,1186500,1188400
37000,1215300,1212700,1212000,1292700,1214300,1224700,1213300,1211500,1223700,1221000,1217300,1215100,1216200,1214700,1213200,1212900,1394800,1218600,1227200,1207100
38000,1253400,1355900,1362700,1249900,1271100,1258500,1254600,1253100,1254200,1253100,1256400,1260000,1256800,1258400,1251500,1253000,1263500,1254700,1254800,1255100
39000,1299800,1288500,1289400,1289100,1291300,1291100,1292200,1288900,1285500,1285800,1298200,1295200,1293100,1292800,1290100,1284300,1292100,1290600,1290000,1291700
40000,1333900,1324100,1322700,1325900,1324800,1338200,1443900,1332400,1311400,1320500,1325700,1323500,1325900,1323100,1324600,1326700,1324300,1323900,1505100,1327600
41000,1374200,1370000,1364100,1362000,1370500,1375500,1371900,1364200,1369000,1371200,1381000,1369700,1370700,1363800,1366800,1371500,1370000,1479600,1375600,1369700
42000,1414300,1411600,1417100,1415100,1413900,1405700,1404400,1410300,1411800,1409800,1411900,1411000,1509400,1727200,1726700,1415100,1405000,1398300,1407800,1411700
43000,1677300,1458600,1452600,1453500,1452200,1446600,1454500,1459400,1465500,1453600,1452700,1573700,1454800,1441200,1446700,1451000,1452500,1453700,1450700,1455600
44000,1485100,1490100,1489500,1481000,1495500,1707000,1487400,1484600,1499800,1482200,1482700,1491700,1481800,1486100,1481700,1483200,1484000,1482200,1482200,1485000
45000,1546500,1513700,1522900,1513100,1624400,1595300,1511300,1511600,1520000,1517400,1516200,1516700,1516700,1517700,1518300,1622600,1517900,1514800,1526900,1514100
