./testing\random\random_10e6.txt,84104300,80015100,79725600,81340600,89915200,87216600,89094500,83353600,82500500,79837700,79406200,83827500,86036600,83525700,80386900,83040300,85809200,80943200,82880000,82353800
./testing\random\random_10e7.txt,829379600,815035800,809263400,854268200,822349300,807697500,814588600,818082500,815176900,811876600,809028200,829938100,819340800,811533100,829887200,822334600,820727800,815124700,806961700,788910000
./testing\random\random_10e8.txt,8807120700,8690312100,8308398200,8415816600,8302023500,8294919200,8534108100,8292211300,8218152900,8334639000,8327976100,8342469900,8361768400,8436333500,8275331100,8441644300,8211743800,8512104900,8689082900,8298966000
./testing\random\random_v2_10e1.txt,2000,1300,500,400,500,400,400,400,500,400,400,500,500,500,500,400,400,500,400,400
./testing\random\random_v2_10e2.txt,7700,5600,5800,5100,5200,5600,5100,5200,5600,5200,5000,5100,5100,5100,5100,5100,5100,5100,5600,5100
./testing\random\random_v2_10e3.txt,77600,70000,69300,66800,68400,66800,66500,65900,65100,65900,66000,78600,103400,66500,65500,66100,66100,66100,66100,66200
./testing\random\random_v2_10e4.txt,717200,723900,988900,751100,682000,708000,644700,686800,676800,642200,677400,677600,634000,682900,680000,646600,652900,660100,655400,658500
./testing\random\random_v2_10e5.txt,8511000,6321800,6701100,6880300,7483400,7053700,6768900,7050900,6961000,9589100,6597300,6708900,7022300,7323700,7044300,7191700,6402500,7103200,6391200,7145200
./testing\random\random_v2_10e6.txt,74979000,78555200,74789500,78821100,76224300,78744700,77938500,75386500,75788500,79237500,76807600,78628500,77675300,77893600,75454600,77996700,76106000,78326500,75987500,75475800
./testing\random\random_v2_10e7.txt,866049500,817528100,759033700,808436000,775733400,768259300,809409600,772167600,779816300,803818600,769804400,767474700,795456600,778605900,776961400,789656900,766331700,754786600,801328900,754619400
./testing\random\random_v2_10e8.txt,8502075700,8536894300,8654970700,8375197100,8337517800,8247975300,8273502900,8476619700,8252654200,8314853500,8365201600,8337383300,8271163400,8388513400,8290328600,8405540200,8331814600,8450087000,8348940700,8290397900
./testing\worst_case,200,100,0,0,100,100,100,0,0,100,0,0,0,100,0,0,0,100,100,0
./testing\worst_case\data_10e1.txt,1400,700,500,500,500,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
./testing\worst_case\data_10e2.txt,5000,3800,3800,3700,4200,3700,3800,3800,4200,3700,3800,3800,3700,4200,3700,3700,3900,4200,3800,3800
./testing\worst_case\data_10e3.txt,51800,46900,46600,45000,44500,44800,44700,44600,44800,46300,46100,46200,72600,61300,44500,44600,44700,44500,46200,46000
./testing\worst_case\data_10e4.txt,462700,384600,505900,666900,491600,377300,418800,393500,392900,418500,377100,432200,393900,377300,426900,376800,420200,377900,377100,418700
./testing\worst_case\data_10e5.txt,4671200,3941300,3943600,3826700,4244000,4035700,4632100,3917800,4251400,4279900,3997900,4029600,4139200,4190800,4155100,4258500,4322300,4202500,4029100,3984200
./testing\worst_case\data_10e6.txt,48588700,46696900,50053000,45912100,47130400,47074400,48322500,45241200,46216100,46382600,47026800,46334500,47212400,46055300,50117500,47944800,47408700,45979900,47388500,49576800
./testing\worst_case\data_10e7.txt,486588900,493512000,488417100,547861000,525685300,491473200,504081800,488616200,485532600,482946500,497906500,484740900,491023300,492817700,484540000,499159000,493292300,493446600,490564500,495432600
./testing\worst_case\data_10e8.txt,5787126700,5658654800,5850439500,5541955700,5826828400,5787051500,5780204500,5709288400,5692182900,6029473300,6292793700,5758806200,6115502600,5983793300,5784271500,5813759600,5935027300,5675710300,5903396800,5861961000
